Brand,Model,Year,Price,Kilometers
Audi,A4 Avant B7 Automática Nacional,2005,6.000 €,195000
Audi,A3 Limousine - AUTOMÁTICO,2018,19.999 €,168756
Audi,A4 Avant Multitronic Business Line S-Line 2.0 TDI 177cv,2013,16.900 €,241000
Audi,A3 Sportback 2.0 TDi S-line,2007,11.500 €,220000
Audi,A5 Sportback 2.0 TDI S-line,2011,15.500 €,188000
Audi,A6 Avant 40 Tdi quattro s tronic advanced OPORTUNIDADE,2019,41.500 €,88000
Audi,A7 3.0 - kit completo RS7 jante 21 v6,2011,19.800 €,275000
Audi,Q2 1.0 TFSI Sport,2020,22.490 €,63849
Audi,AUDI A4 B7 S LINE 170cv,N/A,16.000 €,N/A
Audi,A6 Avant 40 TDI S tronic,2019,33.800 €,94100
Audi,A3 Sportback,2015,17.500 €,195633
Audi,Q7 3.0 TFSI quattro tiptronic,2019,54.990 €,69000
Audi,A3 Sportback 45 TFSIe S line,2023,38.000 €,20098
Audi,Q4 Sportback e-tron 50 quattro,2021,49.590 €,34500
Audi,A5 TDI 2000/ 170cv,2009,13.500 €,287000
Audi,TT Coupé,1999,8.750 €,260000
Audi,e-tron GT quattro,2022,74.900 €,28000
Audi,A3 1.6 TDI S-line,2016,17.600 €,225000
Audi,Q7,2016,42.000 €,120000
Audi,A1 1.2 TFSi Sport,2011,11.890 €,122000
Audi,A4 2.0tdi 130cv,2003,4.900 €,370000
Audi,A4 2.0 Tdi Exclusive,2008,11.000 €,229000
Audi,A7 3.0 tdi,2010,Troca,330000
Audi,A1 1.6 TDI Sport,2011,15.000 €,114000
Audi,A4,2002,5.200 €,N/A
Audi,Q5 2.0 TDi quattro Business Line S-line S-tronic,2014,23.750 €,152000
Audi,rs5 4.2 coupe v8 450cv,2010,40.500 €,250000
Audi,AUDI A8 3.0 DIESEL 250 CAVALOS NACIONAL CAIXA AUTOMATICA 8 VELOCIDADES,2011,17.250 €,208000
Audi,TT 2.0 TFSI IUC Antigo,2006,13.000 €,167000
Audi,A8 3.0 TDi V6 quattro Advance,2010,18.500 €,299000
Audi,A6 Allroad 3.0 TDi quattro Excl.S tronic,2013,22.000 €,236000
Audi,A1 Sportback 1.4 TDI Sport,2018,15.990 €,90000
Audi,A4 1.9tdi 130cv,N/A,4.000 €,288000
Audi,A3 Sportback 1.4 TFSI S tronic Attraction,2016,16.000 €,108000
Audi,80 Cabriolet 2.3E 5 cilindros,1991,9.990 €,145000
Audi,A6 2.0 TDI 140cv,2005,5.890 €,338000
Audi,Q7 3.0 TDI quattro S-line Tiptronic 7L,2015,37.500 €,157000
Audi,A3 Sportback 2.0 TDi Sport S tronic,2011,11.800 €,256000
Audi,AUDI A3 SPORTBACK,2016,15.650 €,162000
Audi,A3 Sportback 1.6 TDI Attraction,2010,12.500 €,119800
Audi,A4 - 1900 Carrinha de,2003,5.500 €,377000
Audi,A4 b7 170cv S-line,2007,8.990 €,220000
Audi,TT 1.8 tfsi,2010,15.000 €,138672
Audi,TT Coupé 2.0 TFSI S-line,2009,17.750 €,168520
Audi,A3 Sportback 40 TFSIe S tronic advanced,2021,27.950 €,49911
Audi,a4 avant 1.9 Tdi - 70€ / mês,2003,6.490 €,260000
Audi,AUDI A1 S LINE 1.6TDI 105CV,2011,12.490 €,144213
Audi,TT Roadster 1.8 T S-line,2001,12.000 €,140000
Audi,A3 Sportback 30 TDI,2019,21.990 €,67920
Audi,A7 Sportback 3.0 TDI V6 S-line Multitronic,2011,16.990 €,340000
Audi,A4 Avant 2.0 TDI Sport,2008,10.500 €,280867
Audi,TT Roadster 2.0 TFSi quattro S Tronic,2014,27.480 €,113000
Audi,,N/A,N/A,N/A
